district_id,name,wards
1,Shadanand,14
1,Bhojpur,12
1,Hatuwagadhi,9
1,Ramprasad Rai,8
1,Aamchok,10
1,Tyamke Maiyum,9
1,Arun,7
1,Pauwadungma,6
1,Salpasilichho,6
2,Dhankuta,10
2,Pakhribas,10
2,Mahalaxmi,9
2,Sangurigadhi,10
2,Chaubise,8
2,Sahidbhumi,7
2,Chhathar Jorpati,6
3,Suryodaya,14
3,Ilam,12
3,Deumai,9
3,Maijogmai,6
3,Phakphokthum,7
3,Mai,10
3,Chulachuli,6
3,Rong,6
3,Mangsebung,6
3,Sandakpur,5
4,Mechinagar,15
4,Birtamod,10
4,Damak,10
4,Bhadrapur,10
4,Shivasatakshi,11
4,Arjundhara,11
4,Gauradaha,9
4,Kankai,9
4,Kamal,7
4,Buddha Shanti,7
4,Kachankawal,7
4,Jhapa,7
4,Barhadashi,7
4,Gaurigunj,6
4,Haldibari,5
5,Diktel Rupakot Majhuwagadhi,15
5,Halesi Tuwachung,11
5,Khotehang,9
5,Diprung Chuichumma,7
5,Aiselukharka,7
5,Jantedhunga,6
5,Kepilasgadhi,7
5,Barahpokhari,6
5,Rawa Besi,6
5,Sakela,5
6,Sundar Haraicha,12
6,Belbari,11
6,Pathari Shanischare,10
6,Ratuwamai,10
6,Urlabari,9
6,Rangeli,9
6,Sunawarshi,9
6,Letang,9
6,Biratnagar,19
6,Jahada,7
6,Budi Ganga,7
6,Katahari,7
6,Dhanpalthan,7
6,Kanepokhari,7
6,Gramthan,7
6,Kerabari,10
6,Miklajung,9
7,Siddhicharan,12
7,Khiji Demba,9
7,Chisankhugadhi,8
7,Molung,8
7,Sunkoshi,10
7,Champadevi,10
7,Manebhanjyang,9
7,Likhu,9
8,Phidim,14
8,Miklajung,8
8,Phalgunanda,7
8,Hilihang,7
8,Phalelung,8
8,Yangwarak,6
8,Kummayak,5
8,Tumbewa,5
9,Khandbari,11
9,Chainpur,11
9,Dharmadevi,9
9,Panchkhapan,9
9,Madi,9
9,Makalu,6
9,Silichong,5
9,Sabhapokhari,6
9,Chichila,5
9,BhotKhola,5
10,Solu Dudhkunda,11
10,Mapya Dudhkoshi,7
10,Necha Salyan,5
10,Thulung Dudhkoshi,9
10,Maha Kulung,5
10,Sotang,5
10,Khumbu PasangLhamu,5
10,Likhu Pike,5
11,BarahaKshetra,11
11,Inaruwa,10
11,Duhabi,12
11,Ramdhuni,9
11,Itahari,20
11,Dharan,20
11,Koshi,8
11,Harinagar,7
11,Bhokraha Narsingh,8
11,Dewangunj,7
11,Gadhi,6
11,Barju,6
12,Phungling,11
12,Sirijangha,8
12,Aathrai Triveni,5
12,Pathibhara Yangwarak,6
12,Meringden,6
12,Sidingwa,7
12,Phaktanglung,7
12,Maiwa Khola,6
12,Mikwa Khola,5
13,Myanglung,10
13,Laligurans,9
13,Aathrai,7
13,Phedap,5
13,Chhathar,6
13,Menchayayem,6
14,Triyuga,16
14,Katari,14
14,Chaudandigadhi,10
14,Belaka,9
14,Udayapurgadhi,8
14,Rautamai,8
14,Tapli,5
14,Limchungbung,5
15,Birgunj,32
15,Bahudarmai,9
15,Parsagadhi,9
15,Pokhariya,10
15,Bindabasini,5
15,Dhobini,5
15,Chhipaharmai,5
15,Jagarnathpur,6
15,Jirabhawani,5
15,Kalikamai,5
15,Pakaha Mainpur,5
15,Paterwa Sugauli,5
15,Sakhuwa Prasauni,6
15,Thori,5
16,Kalaiya,27
16,Jitpur Simara,24
16,Kolhabi,11
16,Nijgadh,13
16,Mahagadhimai,11
16,Simaraungadh,11
16,Pacharauta,9
16,Pheta,7
16,Bishrampur,5
16,Prasauni,7
16,Adarsh Kotwal,8
16,Karaiyamai,8
16,Devtal,7
16,Parwanipur,5
16,Baragadhi,6
16,Suwarna,8
17,Baudhimai,9
17,Brindaban,9
17,Chandrapur,10
17,Dewahi Gonahi,9
17,Gadhimai,9
17,Guruda,9
17,Gaur,9
17,Gujara,9
17,Ishanath,9
17,Katahariya,9
17,Madhav Narayan,9
17,Maulapur,9
17,Paroha,9
17,Phatuwa Bijayapur,11
17,Rajdevi,9
17,Rajpur,9
17,Durga Bhagwati,5
17,Yamunamai,5
18,Bagmati,12
18,Balara,11
18,Barahathwa,18
18,Godaita,12
18,Hariwan,11
18,Haripur,9
18,Haripurwa,9
18,Ishowrpur,15
18,Kabilasi,10
18,Lalbandi,17
18,Malangawa,12
18,Basbariya,6
18,Bisnu,8
18,Brahampuri,7
18,Chakraghatta,9
18,Chandranagar,7
18,Dhankaul,7
18,Kaudena,7
18,Parsa,6
18,Ramnagar,7
19,Lahan,24
19,Dhangadhimai,14
19,Siraha,22
19,Golbazar,13
19,Mirchaiya,12
19,Kalyanpur,12
19,Karjanha,11
19,Sukhipur,10
19,Bhagwanpur,5
19,Aurahi,5
19,Bishnupur,5
19,Bariyarpatti,5
19,Lakshmipur Patari,6
19,Naraha,5
19,SakhuwanankarKatti,5
19,Arnama,5
19,Navarajpur,5
20,Janakpurdham,25
20,Chhireshwarnath,10
20,Ganeshman Charnath,11
20,Dhanushadham,9
20,Nagarain,9
20,Bideha,9
20,Mithila,11
20,Sahidnagar,9
20,Sabaila,13
20,Kamala,9
20,MithilaBihari,10
20,Hansapur,9
20,Janaknandani,6
20,Bateshwar,5
20,Mukhiyapatti Musharniya,6
20,Lakshminya,7
20,Aaurahi,6
20,Dhanauji,5
21,Bodebarsain,10
21,Dakneshwori,10
21,Hanumannagar Kankalini,14
21,Kanchanrup,12
21,Khadak,11
21,Shambhunath,12
21,Saptakoshi,11
21,Surunga,11
21,Rajbiraj,16
21,Agnisaira Krishnasavaran,6
21,Balan-Bihul,6
21,Rajgadh,6
21,Bishnupur,7
21,Chhinnamasta,7
21,Mahadeva,6
21,Rupani,6
21,Tilathi Koiladi,8
21,Tirhut,5
22,Aaurahi,9
22,Balawa,11
22,Bardibas,14
22,Bhangaha,9
22,Gaushala,12
22,Jaleshor,12
22,Loharpatti,9
22,Manara Shiswa,10
22,Matihani,9
22,Ramgopalpur,9
22,Ekdara,6
22,Mahottari,6
22,Pipara,7
22,Samsi,7
22,Sonama,8
23,Bhaktapur,10
23,Changunarayan,9
23,Suryabinayak,10
23,Madhyapur Thimi,9
24,Bharatpur,29
24,Kalika,11
24,Khairhani,13
24,Madi,9
24,Ratnagar,16
24,Rapti,13
24,Ichchhakamana,7
25,Dhunibeshi,9
25,Nilkantha,14
25,Khaniyabas,5
25,Gajuri,8
25,Galchhi,8
25,Gangajamuna,7
25,Jwalamukhi,7
25,Thakre,11
25,Netrawati Dabjong,5
25,Benighat Rorang,10
25,Rubi Valley,6
25,Siddhalek,7
25,Tripurasundari,7
26,Bhimeswor,9
26,Jiri,9
26,Kalinchok,9
26,Melung,7
26,Bigu,8
26,Gaurishankar,9
26,Baiteshowr,8
